_createdBy,name,include,enrolBy,starting,ending,how,_updatedBy,contact,id
[object Object],Canterbury,true,[object Object],[object Object],[object Object],FPP,[object Object],christchurch@generationzero.org.nz,zzzzzzzzzzzzzzzzzzzw
[object Object],Waitaki,true,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzp
[object Object],Elizabeth McKenzie,,,,,,[object Object],,3368xoonkYPEl8PBgUrt
[object Object],Nick Ward,,,,,,[object Object],,v6x72LUEiwWVzjhGYWIH
[object Object],Waimate,true,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzq
[object Object],Elizabeth McKenzie,,,,,,[object Object],,W0XjOunE9KtNemGTGTdP
[object Object],Nick Ward,,,,,,[object Object],,ivlpS7mkxglVDSiBBNaG
[object Object],Waimakariri,true,,,,FPP,[object Object],,zzzzzzzzzzzzzzzzzzzr
[object Object],Rangiora-Ashley Ward,true,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzx
[object Object],David Harnett,,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzx
[object Object],Padi Nistala,,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzy
[object Object],Kaiapoi-Woodend Ward,true,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzy
[object Object],Brent Cairns,,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzx
[object Object],Joel Mclachlan,,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzy
[object Object],Grant Edge,,,,,,[object Object],,4ktSkNaet1gpwYSKQZ3h
[object Object],Rachel Vaughan,,,,,,[object Object],,fOtOyjAwmlsxwR8fBkJ7
[object Object],Timaru,true,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzs
[object Object],Elizabeth McKenzie,,,,,,[object Object],,6HheOVoF95P7J2l0YU2w
[object Object],Nick Ward,,,,,,[object Object],,7YvOF348YVdotBMa9O9P
[object Object],Selwyn,true,,,,FPP,[object Object],,zzzzzzzzzzzzzzzzzzzt
[object Object],Rolleston Ward,true,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzy
[object Object],Sophie McInnes,,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzy
[object Object],John Sunckell,,,,,,[object Object],,PKFgFSsoSavRWl7TXitZ
[object Object],Mackenzie,true,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzu
[object Object],Elizabeth McKenzie,,,,,,[object Object],,3v5WzHtFBcVhfEvKyNZc
[object Object],Nick Ward,,,,,,[object Object],,JZNPjXSlEpoT5oxVrhii
[object Object],Kaikoura,true,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzv
[object Object],Rachel Vaughan,,,,,,[object Object],,4xpbm7FSwGcMd6Whd260
[object Object],Grant Edge,,,,,,[object Object],,VDTQmqPmBZlVDObbO8R3
[object Object],Hurunui,true,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzw
[object Object],Rachel Vaughan,,,,,,[object Object],,XddVRldfz5HfR9My2GGP
[object Object],Grant Edge,,,,,,[object Object],,iB6PSfcZkpX5hurmPBaZ
[object Object],Christchurch,true,,,,FPP,[object Object],,zzzzzzzzzzzzzzzzzzzx
[object Object],Sam Park,,,,,,[object Object],,2C7rgWQBhr08vEOzJXMw
[object Object],Phil Mauger,,,,,,[object Object],,h5fC6kOeSgrNMaRlGjMk
[object Object],Mark Chirnside,,,,,,[object Object],,kBuO9MrJ93x0SgMQKJv5
[object Object],David Meates,,,,,,[object Object],,rI0NGcTZMzTn0G4Upfdv
[object Object],Banks Peninsula Ward,true,,,,,[object Object],,IxSxuB4yKBAIK06fieCk
[object Object],Burwood Ward,true,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzk
[object Object],Michelle Lomax,,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzy
[object Object],Waimairi Ward,true,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzl
[object Object],Kevin List,,,,,,[object Object],,YleGd7XldcDVPeqFk3I5
[object Object],Laly Samuel,,,,,,[object Object],,mHsILZ81dRylHTsXOtLa
[object Object],Sam MacDonald,,,,,,[object Object],,rcf8I93AmBVOORD6wh3D
[object Object],Spreydon Ward,true,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzm
[object Object],Melanie Coker,,,,,,[object Object],,JlndNuU5mdZHcq4wNYJu
[object Object],Sam Lu,,,,,,[object Object],,RCi1iVafzPPp3uPQdKQI
[object Object],Riccarton Ward,true,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzn
[object Object],Tyla Harrison-Hunt,,,,,,[object Object],,5gzByMr8nXfQ1IwKMbJN
[object Object],Luke Jones,,,,,,[object Object],,vlKKCMPmk62h1FRLf7xi
[object Object],Mark Chirnside,,,,,,[object Object],,zeU606ATdhpgTOUcpXEG
[object Object],Papanui Ward,true,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzo
[object Object],Mike Davidson,,,,,,[object Object],,FnuNccsMbZ9Cq9qB4Fn0
[object Object],Linwood Ward,true,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzp
[object Object],Yani Johanson,,,,,,[object Object],,146s61e2aX74QBejDAnk
[object Object],Innes Ward,true,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzq
[object Object],Mark Wilson,,,,,,[object Object],,WUkawabUrxzG8pT09Hmf
[object Object],Pauline Cotter,,,,,,[object Object],,aPtvcDmCOdIrgryCyYZr
[object Object],Hornby Ward,true,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzr
[object Object],Kim Moss,,,,,,[object Object],,QAQgJjukPfAEJxHRbdkF
[object Object],Heathcote Ward,true,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzs
[object Object],Sara Templeton,,,,,,[object Object],,E7zFoGWycdM1rlXWfqZm
[object Object],Harewood Ward,true,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzt
[object Object],Aaron Keown,,,,,,[object Object],,6NGNYzLT7kXNUJkG0juH
[object Object],Fiona Bennetts,,,,,,[object Object],,UDlO9oPVNYsDmMVqU7c7
[object Object],Halswell Ward,true,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzu
[object Object],Paul Lonsdale,,,,,,[object Object],,PXzOeLC4afWX2bsnCl7S
[object Object],Andrei Moore,,,,,,[object Object],,YQk9VtR1VhKxRbiEzHzM
[object Object],Prawindra Mukhia,,,,,,[object Object],,py9s8I9cW7R3qjRHM3ZV
[object Object],Fendalton Ward,true,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzv
[object Object],James Gough,,,,,,[object Object],,LjMY0iXDOa5Gfar1H2dP
[object Object],Colin Meurk,,,,,,[object Object],,TV2emZbqxuvPDVmJTLdf
[object Object],Coastal Ward,true,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzw
[object Object],Celeste Donovan,,,,,,[object Object],,hk7qcCcLopNN1G3TqQYo
[object Object],Central Ward,true,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzx
[object Object],Alexandra Davids,,,,,,[object Object],,5GSa0040VLEdKoRRP8Y0
[object Object],Jake McLellan,,,,,,[object Object],,SxZed0IkRLKX8OM2KJ2d
[object Object],Stephen McPaike,,,,,,[object Object],,xfYrlHEzlGluqhXyQLm3
[object Object],Cashmere Ward,true,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzy
[object Object],Keir Leslie,,,,,,[object Object],,GEKtf8vlGD9MU40cNxDv
[object Object],Tim Scandrett,,,,,,[object Object],,xB8WQquXGx0MttZKoln1
[object Object],Parklands Library,,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzV
[object Object],Ōrauwhata: Bishopdale Library and Community Centre,,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzW
[object Object],Redwood Library,,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzX
[object Object],Aranui Library,,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzY
[object Object],New Brighton Library,,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzZ
[object Object],Tūranga,,,,,,[object Object],,zzzzzzzzzzzzzzzzzzza
[object Object],Upper Riccarton Library,,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzb
[object Object],Spreydon Library,,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzc
[object Object],Matuku Takotako: Sumner Centre,,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzd
[object Object],Diamond Harbour Library,,,,,,[object Object],,zzzzzzzzzzzzzzzzzzze
[object Object],Little River Library,,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzf
[object Object],CCC Civic Offices,,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzg
[object Object],Fendalton Library and Service Centre,,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzi
[object Object],Hornby Library and Service Centre,,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzj
[object Object],Linwood Service Centre,,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzk
[object Object],Beckanham Service Centre,,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzl
[object Object],Te Hāpua Halswell Service Centre,,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzm
[object Object],Shirley Service Centre,,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzn
[object Object],Lyttelton Service Centre,,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzo
[object Object],Akaroa Service Centre,,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzp
[object Object],Akaroa Service Centre,,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzq
[object Object],Lyttelton Service Centre,,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzr
[object Object],Shirley Service Centre,,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzs
[object Object],Te Hāpua Halswell Service Centre,,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzt
[object Object],Beckanham Service Centre,,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzu
[object Object],Linwood Service Centre,,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzv
[object Object],Hornby Library and Service Centre,,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzw
[object Object],Fendalton Library and Service Centre,,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzx
[object Object],CCC Civic Offices,,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzy
[object Object],Vicky Southworth,,,,,,[object Object],,2kdv07EgDMe9ZqFguAH9
[object Object],John Knox,,,,,,[object Object],,69hNcSbgvDAbNzqaPuEN
[object Object],Chrys Horn,,,,,,[object Object],,7ScOf7eluQqT0jZY9CcH
[object Object],John Stringer,,,,,,[object Object],,FN94IhXJVZCubQ3JTcLX
[object Object],James Macbeth Dann,,,,,,[object Object],,WsZheg0nmjLtqGUAElzr
[object Object],Craig Pauling,,,,,,[object Object],,jX2eRwubmfbRqTMcGjgn
[object Object],Murray Wiig,,,,,,[object Object],,kOKUifkz0zvoOWz2EHwP
[object Object],Genevieve Robinson,,,,,,[object Object],,oLQ95Ka9qtSn67Haqb0H
[object Object],Brynlea Stocks,,,,,,[object Object],,pTrJMTwAMv2B5JJxbU8r
[object Object],Greg Byrnes,,,,,,[object Object],,ua7smyZLkoo97fHrtkpP
[object Object],Paul Dietsche,,,,,,[object Object],,vcoR9qlV3HQp8xRUmXS2
[object Object],Ashley Campbell,,,,,,[object Object],,yoeHHRuUfkGfQTSw8fnD
[object Object],Tane Apanui,,,,,,[object Object],,zjXg5hVFBmNGpfvK8Qot
[object Object],Ashburton,true,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzy
[object Object],John Sunckell,,,,,,[object Object],,wh03YXeGJglxDi8fLHhQ
[object Object],Wellington,true,[object Object],[object Object],[object Object],STV,[object Object],wellington@generationzero.org.nz,zzzzzzzzzzzzzzzzzzzx
[object Object],Tararua,,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzq
[object Object],South Wairarapa,,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzr
[object Object],Masterton,,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzs
[object Object],Kāpiti Coast,true,,,,STV,[object Object],,zzzzzzzzzzzzzzzzzzzt
[object Object],Martin Halliday,,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzx
[object Object],Rob McCann,,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzy
[object Object],Districtwide,true,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzu
[object Object],Mark Benton,,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzw
[object Object],Lawrence Kirby,,,,,,[object Object],,zzzzzzzzzzzzzzzzzzzx
