uuid,level,id,name,parent,children,include,pnzRegional,path,how,wardMap,pnz,pnzMayor,enrolBy,starting,ending,contact
6bb2554d-7a2f-4551-bfb7-68d0eae2f7bb,district,zzzzzzzzzzzzzzzzzzzx,Porirua,676d61c9-608b-4b3f-9056-5e1b260944c0,b3bd6416-56d6-4a97-8f17-a14fc5b31bce|36c3d380-6d77-4c47-a4a1-13a1c97f782b|2aec7f07-8e72-4f4b-a763-6e64047697b0,true,greater-wellington-regional-council-porirua-tawa-constituency,regions/zzzzzzzzzzzzzzzzzzzx/districts/zzzzzzzzzzzzzzzzzzzx,STV,https://poriruacity.govt.nz/your-council/mayor-councillors/elections/2022-local-government-elections/wards-maps-and-boundaries/,,porirua-city-council-mayoral,,,,
a22aa373-20b7-489a-b00e-fe1765bcbfda,ward,zzzzzzzzzzzzzzzzzzzs,City Wide,9c35dabb-d4e9-4700-8a9f-2f8c63961e8b,,true,,regions/zzzzzzzzzzzzzzzzzzzx/districts/zzzzzzzzzzzzzzzzzzzy/wards/zzzzzzzzzzzzzzzzzzzs,,,hutt-city-council-at-large,,,,,
ba335c82-3540-47f5-a401-b94cf4ee4721,ward,zzzzzzzzzzzzzzzzzzzt,Central Ward,9c35dabb-d4e9-4700-8a9f-2f8c63961e8b,,true,,regions/zzzzzzzzzzzzzzzzzzzx/districts/zzzzzzzzzzzzzzzzzzzy/wards/zzzzzzzzzzzzzzzzzzzt,,,hutt-city-council-central-ward,,,,,
a1c92184-3cf0-40bc-8f1b-fee1beb48caa,ward,zzzzzzzzzzzzzzzzzzzu,Eastern Ward,9c35dabb-d4e9-4700-8a9f-2f8c63961e8b,,true,,regions/zzzzzzzzzzzzzzzzzzzx/districts/zzzzzzzzzzzzzzzzzzzy/wards/zzzzzzzzzzzzzzzzzzzu,,,hutt-city-council-eastern-ward,,,,,
69b67823-e90f-4303-a483-7bf027808267,ward,zzzzzzzzzzzzzzzzzzzv,Harbour Ward,9c35dabb-d4e9-4700-8a9f-2f8c63961e8b,,true,,regions/zzzzzzzzzzzzzzzzzzzx/districts/zzzzzzzzzzzzzzzzzzzy/wards/zzzzzzzzzzzzzzzzzzzv,,,hutt-city-council-harbour-ward,,,,,
feebb48e-8a28-4ad3-9b73-4475550def83,ward,zzzzzzzzzzzzzzzzzzzw,Northern Ward,9c35dabb-d4e9-4700-8a9f-2f8c63961e8b,,true,,regions/zzzzzzzzzzzzzzzzzzzx/districts/zzzzzzzzzzzzzzzzzzzy/wards/zzzzzzzzzzzzzzzzzzzw,,,hutt-city-council-northern-ward,,,,,
f0126561-c745-4134-ba5b-2c9108ba8440,ward,zzzzzzzzzzzzzzzzzzzx,Wainuiomata Ward,9c35dabb-d4e9-4700-8a9f-2f8c63961e8b,,true,,regions/zzzzzzzzzzzzzzzzzzzx/districts/zzzzzzzzzzzzzzzzzzzy/wards/zzzzzzzzzzzzzzzzzzzx,,,hutt-city-council-wainuiomata-ward,,,,,
527ab2b0-dabc-4429-bc63-c4114c1b72f5,ward,zzzzzzzzzzzzzzzzzzzy,Western Ward,9c35dabb-d4e9-4700-8a9f-2f8c63961e8b,,true,,regions/zzzzzzzzzzzzzzzzzzzx/districts/zzzzzzzzzzzzzzzzzzzy/wards/zzzzzzzzzzzzzzzzzzzy,,,hutt-city-council-western-ward,,,,,
9c35dabb-d4e9-4700-8a9f-2f8c63961e8b,district,zzzzzzzzzzzzzzzzzzzy,Hutt City,676d61c9-608b-4b3f-9056-5e1b260944c0,4c40589e-cc4c-4215-a09e-8f83b41a49ce|f7132a0a-4545-4798-b0fd-8e8ebc201a6a|3d00498d-ce42-47c6-865f-5b5c3b685638|22f9ebdf-b808-4f1a-922a-7fdebf2ddce0|46e75b28-aaef-4631-b17a-557ccf379ec2|5592e024-34d1-47ad-aadd-dc6ec955c23f|f6f26f2f-e345-4c94-8247-441f5666ef84,true,greater-wellington-regional-council-te-awa-kairangi-ki-tai-lower-hutt-constituency,regions/zzzzzzzzzzzzzzzzzzzx/districts/zzzzzzzzzzzzzzzzzzzy,FPP,https://maps.huttcity.govt.nz/portal/apps/webappviewer/index.html?id=b57270f1aa9348e295ef775ad04537ff,,hutt-city-council-mayoral,,,,
676d61c9-608b-4b3f-9056-5e1b260944c0,region,zzzzzzzzzzzzzzzzzzzx,Wellington,,abd4e0e5-936a-410f-8d4e-e0d86d0b8571|deca9eec-2ad6-49ec-bbcc-550876d0f694|dce5b0fb-942d-4ea2-a984-fd2bc007c427|0135ac15-1536-443f-9410-1a29e110fa1e|c1fc6aa2-ecbe-4324-93da-a09cbe8bbeaa|77e99f50-8ae1-43ff-9aeb-6a653c85a49f|76decab0-eae5-46dd-aa83-486a0311aa70|7f22976c-2e5d-4bdf-9509-d1a19eeefd94|c0e664b1-5b57-475e-b38d-7a35f84c291f,true,,regions/zzzzzzzzzzzzzzzzzzzx,STV,https://wellington.govt.nz/-/media/your-council/elections/2019/wards/all-wellington-wards.pdf,,,[object Object],[object Object],[object Object],wellington@generationzero.org.nz
455f4396-31f7-44f4-87bf-a9b093f1390b,subdivision,zzzzzzzzzzzzzzzzzzzy,Whau,23b0b8b6-17fa-4cef-ba44-7758f9f256c5,,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgI/boards/zzzzzzzzzzzzzzzzzzzy/subdivisions/zzzzzzzzzzzzzzzzzzzy,,,whau-local-board,,,,,
23b0b8b6-17fa-4cef-ba44-7758f9f256c5,board,zzzzzzzzzzzzzzzzzzzy,Whau,9ddd9bb0-e1b9-406e-8420-f46acfbcbcda,b19a0c35-f835-46f0-9f59-4ca836548408,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgI/boards/zzzzzzzzzzzzzzzzzzzy,,,,,,,,
9ddd9bb0-e1b9-406e-8420-f46acfbcbcda,ward,5LcejaRWTJoYW3rI9mgI,Whau,fc33792e-b6f8-4525-a115-9fed6adbe91c,ddbb9abb-1521-444f-a87f-c5a312af9528,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgI,,,auckland-council-whau-ward,,,,,
8d998a6b-df5d-4394-9031-171c204856a2,subdivision,zzzzzzzzzzzzzzzzzzzy,Aotea Great Barrier,12ac9ece-23ec-460a-ad89-7b42def86fad,,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgJ/boards/zzzzzzzzzzzzzzzzzzzw/subdivisions/zzzzzzzzzzzzzzzzzzzy,,,aotea-great-barrier-local-board,,,,,
12ac9ece-23ec-460a-ad89-7b42def86fad,board,zzzzzzzzzzzzzzzzzzzw,Aotea Great Barrier,e4b2cea9-303b-4f89-9ae9-65f9c89a8a6a,2391b311-3970-4c91-868a-64d7eb582572,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgJ/boards/zzzzzzzzzzzzzzzzzzzw,,,,,,,,
94da6223-c4c8-4faa-89e1-cd3a80eb6a31,subdivision,zzzzzzzzzzzzzzzzzzzy,Waiheke,eb9b096b-86cd-4a66-ae85-056c17ce7f28,,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgJ/boards/zzzzzzzzzzzzzzzzzzzx/subdivisions/zzzzzzzzzzzzzzzzzzzy,,,waiheke-local-board,,,,,
eb9b096b-86cd-4a66-ae85-056c17ce7f28,board,zzzzzzzzzzzzzzzzzzzx,Waiheke,e4b2cea9-303b-4f89-9ae9-65f9c89a8a6a,e7121825-bf42-445f-995f-1b71e281bb35,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgJ/boards/zzzzzzzzzzzzzzzzzzzx,,,,,,,,
0f9a19c4-3e2e-4d1b-9c82-7e4144ad174b,subdivision,zzzzzzzzzzzzzzzzzzzy,Waitematā,ee896499-6090-4019-8e5b-abc84dd6d16d,,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgJ/boards/zzzzzzzzzzzzzzzzzzzy/subdivisions/zzzzzzzzzzzzzzzzzzzy,,,waitemata-local-board,,,,,
ee896499-6090-4019-8e5b-abc84dd6d16d,board,zzzzzzzzzzzzzzzzzzzy,Waitematā,e4b2cea9-303b-4f89-9ae9-65f9c89a8a6a,7c663322-c03d-4bfd-be16-5a1853f29a74,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgJ/boards/zzzzzzzzzzzzzzzzzzzy,,,,,,,,
e4b2cea9-303b-4f89-9ae9-65f9c89a8a6a,ward,5LcejaRWTJoYW3rI9mgJ,Waitematā and Gulf,fc33792e-b6f8-4525-a115-9fed6adbe91c,6c68c90d-f352-4bfc-9494-b81545d96ec6|7f2462ed-b77a-49cb-b0f7-447a9fb72555|7e7b977a-4c6f-4e1a-ab20-1bb9527edfcd,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgJ,,,auckland-council-waitemata-and-gulf-ward,,,,,
37f07d32-0f2f-4b26-8ff7-533852223101,subdivision,zzzzzzzzzzzzzzzzzzzy,Henderson-Massey,a50d5fe9-0767-4193-97ae-d8f7c6ee924c,,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgK/boards/zzzzzzzzzzzzzzzzzzzx/subdivisions/zzzzzzzzzzzzzzzzzzzy,,,henderson-massey-local-board,,,,,
a50d5fe9-0767-4193-97ae-d8f7c6ee924c,board,zzzzzzzzzzzzzzzzzzzx,Henderson-Massey,e14d8b33-185f-4626-bc4f-c75b194d3ef1,0ff93f92-6935-481f-83fe-90b17b39ddd9,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgK/boards/zzzzzzzzzzzzzzzzzzzx,,,,,,,,
16dc3794-321d-490d-a10f-2a08e870e09a,subdivision,zzzzzzzzzzzzzzzzzzzy,Waitākere Ranges,b2903fba-b7bd-4b37-b377-742b1d3a9abe,,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgK/boards/zzzzzzzzzzzzzzzzzzzy/subdivisions/zzzzzzzzzzzzzzzzzzzy,,,waitakere-ranges-local-board,,,,,
b2903fba-b7bd-4b37-b377-742b1d3a9abe,board,zzzzzzzzzzzzzzzzzzzy,Waitākere Ranges,e14d8b33-185f-4626-bc4f-c75b194d3ef1,a12e0ca1-629a-46bf-bdfc-524b2812d01a,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgK/boards/zzzzzzzzzzzzzzzzzzzy,,,,,,,,
e14d8b33-185f-4626-bc4f-c75b194d3ef1,ward,5LcejaRWTJoYW3rI9mgK,Waitākere,fc33792e-b6f8-4525-a115-9fed6adbe91c,5c2ca9f4-4291-4136-b6fd-c3c0287cb11d|3e54e0b4-1ebe-4107-8387-31d9c045b875,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgK,,,auckland-council-waitakere-ward,,,,,
e907d038-e0bd-4ba5-a190-161fdf553d76,subdivision,zzzzzzzzzzzzzzzzzzzv,Wellsford,5618f4e3-f24c-45c2-9cf4-18c556711bbe,,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgL/boards/zzzzzzzzzzzzzzzzzzzy/subdivisions/zzzzzzzzzzzzzzzzzzzv,,,rodney-local-board-wellsford-subdivision,,,,,
7909aef2-72cb-4cda-adcc-d37f11271a0e,subdivision,zzzzzzzzzzzzzzzzzzzw,Warkworth,5618f4e3-f24c-45c2-9cf4-18c556711bbe,,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgL/boards/zzzzzzzzzzzzzzzzzzzy/subdivisions/zzzzzzzzzzzzzzzzzzzw,,,rodney-local-board-warkworth-subdivision,,,,,
ab281214-7c08-4e45-baba-36fd83e5b6e5,subdivision,zzzzzzzzzzzzzzzzzzzx,Kumeū,5618f4e3-f24c-45c2-9cf4-18c556711bbe,,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgL/boards/zzzzzzzzzzzzzzzzzzzy/subdivisions/zzzzzzzzzzzzzzzzzzzx,,,rodney-local-board-kumeu-subdivision,,,,,
37724469-7319-4993-81d5-22321f384262,subdivision,zzzzzzzzzzzzzzzzzzzy,Dairy Flat,5618f4e3-f24c-45c2-9cf4-18c556711bbe,,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgL/boards/zzzzzzzzzzzzzzzzzzzy/subdivisions/zzzzzzzzzzzzzzzzzzzy,,,rodney-local-board-dairy-flat-subdivision,,,,,
5618f4e3-f24c-45c2-9cf4-18c556711bbe,board,zzzzzzzzzzzzzzzzzzzy,Rodney,83c627d3-0f28-4d01-bbe6-43bd77c447cd,e69ecca4-20ca-4563-bfcd-7b961898ea35|665bb765-4842-4ea7-ad49-58230654d2e2|6aa5eae0-e9f1-489d-8d45-f3de1587aa17|55a7fd01-c368-4a99-8f8c-b87234713821,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgL/boards/zzzzzzzzzzzzzzzzzzzy,,,,,,,,
83c627d3-0f28-4d01-bbe6-43bd77c447cd,ward,5LcejaRWTJoYW3rI9mgL,Rodney,fc33792e-b6f8-4525-a115-9fed6adbe91c,2009ffd9-3cb3-4b8d-afd2-a57538e115e6,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgL,,,auckland-council-rodney-ward,,,,,
40f2d948-6bdf-4908-968b-31fd86586e26,subdivision,zzzzzzzzzzzzzzzzzzzx,Ōwairaka,cb46cc8f-2561-4078-a016-0b3efebeba36,,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgM/boards/zzzzzzzzzzzzzzzzzzzw/subdivisions/zzzzzzzzzzzzzzzzzzzx,,,albert-eden-local-board-owairaka-subdivision,,,,,
5d28aeed-ce0e-4154-889d-03792c6df506,subdivision,zzzzzzzzzzzzzzzzzzzy,Maungawhau,cb46cc8f-2561-4078-a016-0b3efebeba36,,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgM/boards/zzzzzzzzzzzzzzzzzzzw/subdivisions/zzzzzzzzzzzzzzzzzzzy,,,albert-eden-local-board-maungawhau-subdivision,,,,,
cb46cc8f-2561-4078-a016-0b3efebeba36,board,zzzzzzzzzzzzzzzzzzzw,Albert-Eden,73a8095b-db9a-4ca2-a135-2f41d9af9f07,cbeca404-eb6c-4b48-a934-a185dab4abee|5d7391ff-744a-4a8a-9263-ccd5f2bad0f0,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgM/boards/zzzzzzzzzzzzzzzzzzzw,,,,,,,,
3d90999b-5043-487c-839b-4b2248b9c425,subdivision,zzzzzzzzzzzzzzzzzzzy,Ōrākei,95a2477f-b3b5-44ae-af9b-e567724bcb0e,,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgM/boards/zzzzzzzzzzzzzzzzzzzx/subdivisions/zzzzzzzzzzzzzzzzzzzy,,,orakei-local-board,,,,,
95a2477f-b3b5-44ae-af9b-e567724bcb0e,board,zzzzzzzzzzzzzzzzzzzx,Ōrākei,73a8095b-db9a-4ca2-a135-2f41d9af9f07,2696ca53-b3de-4524-a098-d3f8986db6fe,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgM/boards/zzzzzzzzzzzzzzzzzzzx,,,,,,,,
28b3e682-5cd5-4c2d-b29a-a9baef5c81cd,subdivision,zzzzzzzzzzzzzzzzzzzy,Waitematā,75ce324f-aaea-47bc-b3d0-5a288f6b7a66,,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgM/boards/zzzzzzzzzzzzzzzzzzzy/subdivisions/zzzzzzzzzzzzzzzzzzzy,,,waitemata-local-board,,,,,
75ce324f-aaea-47bc-b3d0-5a288f6b7a66,board,zzzzzzzzzzzzzzzzzzzy,Waitematā,73a8095b-db9a-4ca2-a135-2f41d9af9f07,b6dc5c6b-57b9-45af-801e-ba0942a7fe5e,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgM/boards/zzzzzzzzzzzzzzzzzzzy,,,,,,,,
73a8095b-db9a-4ca2-a135-2f41d9af9f07,ward,5LcejaRWTJoYW3rI9mgM,Ōrākei,fc33792e-b6f8-4525-a115-9fed6adbe91c,38f6141a-d8fd-43a0-88fd-b31c85d292d0|798f7ebd-3ebc-48ab-bfbd-f0dfc30189ca|07cef41e-792e-458f-85ee-56817e424d19,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgM,,,auckland-council-orakei-ward,,,,,
ca68859a-c66d-4a00-926c-758b8e97a326,subdivision,zzzzzzzzzzzzzzzzzzzy,Kaipātiki,95be849f-03fc-4b1d-a0bf-72edc56b033b,,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgN/boards/zzzzzzzzzzzzzzzzzzzx/subdivisions/zzzzzzzzzzzzzzzzzzzy,,,kaipatiki-local-board,,,,,
95be849f-03fc-4b1d-a0bf-72edc56b033b,board,zzzzzzzzzzzzzzzzzzzx,Kaipātiki,a7c9f227-2601-4100-912b-46e21cd64a6e,2f06289d-cfd2-4004-b2c4-cab86927ffa9,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgN/boards/zzzzzzzzzzzzzzzzzzzx,,,,,,,,
95f7f831-d383-4ff6-8f06-097105003c5e,subdivision,zzzzzzzzzzzzzzzzzzzy,Devonport-Takapuna,8f9e63ad-ead0-4ae8-aaa3-e58be2018245,,true,,regions/zzzzzzzzzzzzzzzzzzzy/districts/zzzzzzzzzzzzzzzzzzzy/wards/5LcejaRWTJoYW3rI9mgN/boards/zzzzzzzzzzzzzzzzzzzy/subdivisions/zzzzzzzzzzzzzzzzzzzy,,,devonport-takapuna-local-board,,,,,
